timestamp,source,destination,delay,success,crdt_enabled,hop_count,throughput,packet_size,cumulative_packets,bytes_delivered,packet_id,stored_time,ttl,reason
1743017195.7303634,sta5,sta4,24.783586502075195,True,True,3.0,1.4,295.0,36.0,10742.0,,,,
1743017197.1858218,sta1,sta5,25.01814365386963,True,True,2.0,1.4,295.0,37.0,11074.0,,,,
1743017197.1891286,sta3,sta5,1.4870033264160156,True,True,1.0,1.5,311.0,38.0,11385.0,,,,
1743017197.1923125,sta1,sta5,3.6478469371795654,True,True,2.0,1.6,312.0,39.0,11697.0,,,,
1743017198.0574596,sta1,sta2,4.447450876235962,True,True,1.0,3.8,312.0,136.0,38192.0,,,,
1743017198.1523108,sta2,sta3,18.120037078857422,True,True,2.0,1.7,294.0,44.0,13123.0,,,,
1743017198.156957,sta2,sta3,18.123616218566895,True,True,2.0,1.8,295.0,45.0,13418.0,,,,
1743017198.1582572,sta2,sta3,18.123738050460815,True,True,2.0,1.9,295.0,46.0,13713.0,,,,
1743017198.1824112,sta2,sta4,3.483992338180542,True,True,2.0,1.4,311.0,37.0,11053.0,,,,
1743017198.1845398,sta1,sta4,27.26722478866577,True,True,3.0,1.5,294.0,38.0,11347.0,,,,
1743017198.217162,sta2,sta1,8.64548397064209,True,True,4.0,2.2,312.0,68.0,19877.0,,,,
1743017198.943846,sta3,sta4,13.604746103286743,True,True,1.0,1.1,312.0,39.0,11659.0,,,,
1743017199.8495886,sta4,sta1,28.95853614807129,True,True,2.0,1.7,311.0,69.0,20188.0,,,,
1743017199.9865377,sta4,sta5,27.852171659469604,True,True,1.0,1.2,295.0,40.0,11992.0,,,,
1743017199.9879215,sta4,sta5,27.851912260055542,True,True,1.0,1.3,295.0,41.0,12287.0,,,,
1743017200.8732393,sta3,sta1,10.302016973495483,True,True,3.0,2.3,312.0,75.0,21900.0,,,,
1743017200.8754644,sta5,sta1,28.8965265750885,True,True,5.0,2.4,311.0,76.0,22211.0,,,,
1743017200.8761625,sta5,sta1,33.31266522407532,True,True,5.0,2.5,295.0,77.0,22506.0,,,,
1743017200.877052,sta5,sta1,33.31282329559326,True,True,5.0,2.6,295.0,78.0,22801.0,,,,
1743017200.91003,sta2,sta4,6.139986515045166,True,True,2.0,1.1,312.0,40.0,11971.0,,,,
1743017200.9182823,sta3,sta4,5.193860769271851,True,True,2.0,1.2,312.0,41.0,12283.0,,,,
1743017200.9203558,sta2,sta4,19.78993034362793,True,True,2.0,1.3,295.0,42.0,12578.0,,,,
1743017200.947438,sta2,sta5,18.572459936141968,True,True,2.0,1.4,296.0,42.0,12583.0,,,,
1743017200.9480789,sta2,sta5,18.568814516067505,True,True,2.0,1.5,296.0,43.0,12879.0,,,,
1743017200.9489172,sta2,sta5,18.5683376789093,True,True,2.0,1.6,296.0,44.0,13175.0,,,,
1743017200.9491448,sta2,sta5,1.0526816844940186,True,True,1.0,1.7,312.0,45.0,13487.0,,,,
1743017202.2492573,sta3,sta2,22.033416748046875,True,True,4.0,3.9,311.0,152.0,42702.0,,,,
1743017202.2584207,sta5,sta2,4.100480556488037,True,True,1.0,4.0,312.0,153.0,43014.0,,,,
1743017202.336798,sta2,sta3,7.5981550216674805,True,True,3.0,1.3,312.0,47.0,14025.0,,,,
1743017202.3381355,sta1,sta3,3.4827566146850586,True,True,1.0,1.4,312.0,48.0,14337.0,,,,
1743017202.391973,sta2,sta1,2.46661114692688,True,True,1.0,2.5,311.0,79.0,23112.0,,,,
1743017202.425354,sta3,sta5,1.5411250591278076,True,True,1.0,1.7,312.0,46.0,13799.0,,,,
