timestamp,source,destination,delay,success,crdt_enabled,hop_count,throughput,packet_size,cumulative_packets,bytes_delivered
1743682851.681436,sta1,sta4,0.0004730224609375,True,True,1,0.8,248,33,8166
1743682851.682987,sta1,sta5,0.0004436969757080078,True,True,1,0.8,248,33,8161
1743682852.086439,sta2,sta1,0.0008459091186523438,True,True,1,0.8,248,33,8159
1743682852.087626,sta2,sta3,0.00030112266540527344,True,True,1,0.8,248,34,8411
1743682852.0882668,sta2,sta5,0.0001518726348876953,True,True,1,0.8,248,34,8409
1743682852.0885093,sta2,sta4,0.0007636547088623047,True,True,1,0.8,247,34,8413
1743682852.577371,sta3,sta1,0.0015802383422851562,True,True,1,0.8,248,34,8407
1743682852.5956514,sta3,sta2,0.004407167434692383,True,True,1,0.8,248,34,8411
1743682852.5986176,sta3,sta4,0.0011479854583740234,True,True,1,0.8,248,35,8661
1743682852.6075914,sta3,sta5,0.0008389949798583984,True,True,1,0.8,248,35,8657
1743682852.971068,sta4,sta1,0.0004849433898925781,True,True,1,0.8,247,35,8654
1743682852.972502,sta4,sta2,0.0006759166717529297,True,True,1,0.8,248,35,8659
1743682852.9734864,sta4,sta3,0.0003561973571777344,True,True,1,0.8,248,35,8659
1743682852.9739497,sta4,sta5,0.00021648406982421875,True,True,1,0.8,248,36,8905
1743682853.240219,sta5,sta1,0.002009868621826172,True,True,1,0.8,248,36,8902
1743682853.2408323,sta5,sta2,0.00020432472229003906,True,True,1,0.8,248,36,8907
1743682853.2425854,sta5,sta4,0.0003204345703125,True,True,1,0.8,247,36,8908
1743682853.2435546,sta5,sta3,0.0015332698822021484,True,True,1,0.8,248,36,8907
1743682856.6881254,sta1,sta2,0.0015902519226074219,True,True,1,0.8,248,37,9155
1743682856.6890724,sta1,sta3,0.0007917881011962891,True,True,1,0.8,248,37,9155
1743682856.6900542,sta1,sta4,0.00010466575622558594,True,True,1,0.8,248,37,9156
1743682856.6934266,sta1,sta5,0.0003387928009033203,True,True,1,0.8,248,37,9153
1743682857.1025772,sta2,sta1,0.0070953369140625,True,True,1,0.8,248,37,9150
1743682857.1099257,sta2,sta3,0.002192974090576172,True,True,1,0.8,247,38,9402
1743682857.1109147,sta2,sta4,0.0007340908050537109,True,True,1,0.8,248,38,9404
1743682857.1190298,sta2,sta5,0.00037407875061035156,True,True,1,0.8,248,38,9401
1743682857.6176171,sta3,sta1,0.0009071826934814453,True,True,1,0.8,248,38,9398
1743682857.6228123,sta3,sta2,0.0007996559143066406,True,True,1,0.8,248,38,9403
1743682857.6290057,sta3,sta4,0.0004918575286865234,True,True,1,0.8,247,39,9651
1743682857.6292968,sta3,sta5,0.00015044212341308594,True,True,1,0.8,248,39,9649
1743682857.9867046,sta4,sta1,0.005112171173095703,True,True,1,0.8,248,39,9646
1743682857.994072,sta4,sta2,0.0005490779876708984,True,True,1,0.8,247,39,9650
1743682857.9943922,sta4,sta3,0.00014519691467285156,True,True,1,0.8,248,39,9650
1743682857.9948664,sta4,sta5,0.00011706352233886719,True,True,1,0.8,248,40,9897
1743682858.2506452,sta5,sta1,0.0002467632293701172,True,True,1,0.8,246,40,9892
1743682858.2530582,sta5,sta2,0.0011582374572753906,True,True,1,0.8,248,40,9898
1743682858.2584836,sta5,sta3,0.0013737678527832031,True,True,1,0.8,248,40,9898
1743682858.2598124,sta5,sta4,0.0001952648162841797,True,True,1,0.8,248,40,9899
1743682861.6989684,sta1,sta2,0.0003764629364013672,True,True,1,0.8,247,41,10145
1743682861.6992505,sta1,sta3,0.00013256072998046875,True,True,1,0.8,248,41,10146
1743682861.699727,sta1,sta4,0.00010156631469726562,True,True,1,0.8,248,41,10147
1743682861.700122,sta1,sta5,0.0001704692840576172,True,True,1,0.8,247,41,10144
1743682862.1281357,sta2,sta1,0.0009014606475830078,True,True,1,0.8,248,41,10140
